t_ms,ax,ay,az,gx,gy,gz,roll_acc,roll_filt
3,-0.0631,-0.0066,0.9906,-0.198,0.351,-0.214,-0.38,-0.01
20,-0.0652,-0.0063,0.9895,-0.107,0.412,-0.153,-0.37,-0.02
76,-0.0641,-0.0042,0.9880,0.031,0.443,-0.229,-0.24,-0.02
80,-0.0647,-0.0055,0.9895,-0.092,0.290,-0.183,-0.32,-0.03
85,-0.0646,-0.0038,0.9908,-0.198,0.305,-0.214,-0.22,-0.04
100,-0.0647,-0.0016,0.9884,-0.076,0.443,-0.214,-0.09,-0.04
120,-0.0648,0.0001,0.9902,-0.061,0.427,-0.076,0.01,-0.04
140,-0.0642,-0.0016,0.9902,-0.092,0.382,-0.183,-0.09,-0.05
160,-0.0621,-0.0031,0.9894,-0.092,0.489,-0.198,-0.18,-0.05
180,-0.0618,-0.0033,0.9890,-0.153,0.366,-0.214,-0.19,-0.06
200,-0.0637,-0.0043,0.9905,-0.198,0.321,-0.198,-0.25,-0.06
220,-0.0621,-0.0034,0.9888,-0.076,0.382,-0.229,-0.20,-0.07
240,-0.0618,-0.0040,0.9875,-0.183,0.412,-0.260,-0.23,-0.07
260,-0.0640,-0.0045,0.9884,-0.107,0.443,-0.260,-0.26,-0.08
280,-0.0635,-0.0046,0.9878,-0.153,0.412,-0.366,-0.27,-0.09
300,-0.0631,-0.0045,0.9882,-0.168,0.382,-0.198,-0.26,-0.09
320,-0.0646,-0.0068,0.9885,-0.031,0.336,-0.244,-0.40,-0.10
340,-0.0646,-0.0077,0.9897,-0.076,0.321,-0.290,-0.45,-0.11
360,-0.0642,-0.0055,0.9908,-0.137,0.336,-0.275,-0.32,-0.12
380,-0.0654,-0.0066,0.9880,-0.076,0.382,-0.137,-0.38,-0.12
400,-0.0626,-0.0067,0.9904,-0.168,0.412,-0.321,-0.39,-0.13
420,-0.0620,-0.0032,0.9900,-0.107,0.351,-0.168,-0.18,-0.13
440,-0.0623,-0.0052,0.9905,-0.214,0.290,-0.244,-0.30,-0.14
460,-0.0642,-0.0028,0.9889,-0.031,0.382,-0.214,-0.16,-0.14
480,-0.0609,-0.0043,0.9901,-0.153,0.504,-0.336,-0.25,-0.15
